i;HALL_A;HALL_B;COIL_A;COIL_B
0.000000;52780;2180;65156;14054
0.001000;52774;2128;65232;14062
0.002000;52772;2084;65312;14066
0.003000;52764;2028;65384;14074
0.004000;52758;1984;65454;14076
0.005000;52756;1932;65534;14080
0.006000;52748;1886;78;14086
0.007000;52748;1834;156;14092
0.008000;52740;1790;232;14090
0.009000;52738;1744;306;14094
0.010000;52732;1688;376;14096
0.011000;52728;1638;454;14096
0.012000;52722;1588;534;14098
0.013000;52718;1540;606;14098
0.014000;52714;1488;678;14098
0.015000;52712;1440;754;14098
0.016000;52708;1388;832;14098
0.017000;52704;1336;912;14094
0.018000;52704;1286;990;14092
0.019000;52702;1236;1066;14090
0.020000;52696;1182;1138;14084
0.021000;52694;1132;1216;14082
0.022000;52696;1080;1290;14080
0.023000;52692;1028;1370;14074
0.024000;52692;978;1442;14072
0.025000;52688;922;1518;14066
0.026000;52688;874;1594;14060
0.027000;52682;824;1674;14052
0.028000;52684;776;1744;14048
0.029000;52684;718;1812;14040
0.030000;52684;670;1886;14030
0.031000;52682;616;1966;14022
0.032000;52682;564;2040;14014
0.033000;52688;510;2116;14000
0.034000;52686;462;2188;13992
0.035000;52684;408;2266;13982
0.036000;52684;354;2338;13970
0.037000;52690;300;2418;13962
0.038000;52682;248;2496;13948
0.039000;52690;196;2564;13936
0.040000;52690;142;2640;13922
0.041000;52692;88;2716;13910
0.042000;52692;36;2794;13892
0.043000;52694;65522;2864;13882
0.044000;52700;65408;2998;13850
0.045000;52702;65400;3012;13848
0.046000;52706;65354;3068;13838
0.047000;52708;65306;3142;13818
0.048000;52710;65246;3212;13802
0.049000;52716;65194;3290;13786
0.050000;52718;65140;3364;13768
0.051000;52722;65088;3434;13750
0.052000;52724;65032;3518;13724
0.053000;52730;64980;3592;13708
0.054000;52734;64926;3664;13688
0.055000;52738;64872;3736;13672
0.056000;52738;64816;3814;13652
0.057000;52748;64762;3884;13634
0.058000;52760;64650;4032;13590
0.059000;52766;64606;4086;13574
0.060000;52772;64594;4100;13570
0.061000;52778;64532;4176;13542
0.062000;52786;64486;4242;13524
0.063000;52792;64430;4314;13498
0.064000;52798;64376;4384;13476
0.065000;52806;64318;4456;13448
0.066000;52814;64258;4538;13422
0.067000;52824;64208;4606;13398
0.068000;52832;64150;4680;13370
0.069000;52846;64036;4822;13316
0.070000;52852;63994;4874;13298
0.071000;52860;63978;4896;13290
0.072000;52868;63928;4960;13268
0.073000;52880;63872;5024;13236
0.074000;52888;63812;5096;13206
0.075000;52900;63758;5164;13178
0.076000;52908;63706;5238;13146
0.077000;52924;63650;5312;13116
0.078000;52932;63594;5378;13086
0.079000;52946;63542;5448;13058
0.080000;52972;63422;5596;12986
0.081000;52980;63384;5634;12968
0.082000;52980;63370;5648;12964
